"P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",59,"Baja","No","8","NS/NR","NS/NR","6","Está estancado","Igual","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",37,"Media baja","No","7","NS/NR","NS/NR","4","Está en retroceso","Un poco mejor","Nada","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Bolivia"
"La política no es tan complicada y se entiende","Soltero","Masculino",32,"Media baja","No","10 Totalmente democrático","7","6","NS/NR","Está estancado","Un poco mejor","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",33,"Media","Sí","8","5","9","3","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",25,"Media","Sí","4","7","5","4","Está progresando","Igual","Poco","Buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Uruguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",49,"Media baja","Sí","8","6","8","3","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",47,"Media baja","Sí","5","5","5","5","Está estancado","Un poco peor","Bastante","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",55,"Media baja","No","8","9","9","NS/NR","Está progresando","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",73,"Alta","Sí","9","10 Totalmente democrático","8","7","Está progresando","Un poco mejor","Bastante","Buena","Muy justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",82,"Media","Sí","5","8","5","5","Está estancado","Un poco peor","NS/NR","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política no es tan complicada y se entiende","Soltero","Masculino",51,"Media","No","7","8","10 Totalmente democrático","00 Izquierda","Está progresando","Un poco mejor","Mucho","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",51,"Media alta","Sí","7","9","8","9","Está en retroceso","Un poco mejor","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",40,"Media","Sí","8","4","10 Totalmente democrático","8","Está estancado","Igual","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Chile"
"La política es tan complicada que no se entiende","Soltero","Masculino",25,"Media","Sí","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","NS/NR","Está en retroceso","Igual","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",40,"Baja","No","5","6","6","5","Está en retroceso","Un poco peor","Poco","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",27,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","1","Está progresando","Igual","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",33,"Baja","No","8","9","7","8","Está en retroceso","Un poco peor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",53,"Media","Sí","6","7","8","6","Está estancado","Igual","Mucho","Buena","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",52,"Media baja","No","5","6","7","5","Está estancado","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Soltero","Masculino",24,"Media","Sí","10 Totalmente democrático","2","5","00 Izquierda","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Soltero","Femenino",33,"Media baja","No","6","8","7","6","Está estancado","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",28,"Media","No","8","4","5","8","Está progresando","Mucho mejor","Mucho","Muy buena","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política es tan complicada que no se entiende","Soltero","Femenino",19,"Media baja","No","5","8","5","10 Derecha","Está en retroceso","Mucho peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",79,"Media alta","No","4","NS/NR","NS/NR","10 Derecha","Está estancado","Un poco peor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",41,"Baja","No","9","9","9","2","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política es tan complicada que no se entiende","Soltero","Masculino",18,"Media baja","No","NS/NR","NS/NR","NS/NR","NS/NR","Está progresando","NS/NR","NS/NR","Regular","Injusta","NS/NR","Uruguay"
"La política no es tan complicada y se entiende","Soltero","Masculino",20,"Media","No","5","6","7","2","Está estancado","Mucho peor","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",23,"Media baja","No","7","7","7","NS/NR","Está progresando","Igual","Bastante","Regular","Injusta","NS/NR","Venezuela"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",57,"Media","No","9","01 No es democrático","4","1","Está progresando","Un poco mejor","Poco","Regular","Muy justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",58,"Media baja","No","5","5","5","1","Está estancado","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",60,"Media","No","10 Totalmente democrático","10 Totalmente democrático","4","7","Está progresando","Igual","Poco","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",28,"Baja","No","3","5","5","NS/NR","Está en retroceso","Un poco peor","NS/NR","Muy mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",43,"Media","Sí","3","2","3","4","Está progresando","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",22,"Media","No","6","5","7","5","Está estancado","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Soltero","Femenino",19,"Media","Sí","7","NS/NR","NS/NR","5","Está progresando","Un poco mejor","Nada","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",36,"Media","No","4","2","3","5","Está progresando","Un poco mejor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",40,"Media baja","Sí","5","6","7","5","NS/NR","Igual","NS/NR","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",74,"Media baja","No","4","4","4","8","NS/NR","Igual","Poco","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",83,"Media baja","No","6","8","6","6","Está progresando","Un poco mejor","Bastante","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",58,"Baja","No","3","NS/NR","NS/NR","NS/NR","Está estancado","Igual","Mucho","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",23,"Baja","No","5","6","6","2","Está progresando","Mucho mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",18,"Media","No","6","6","6","5","Está progresando","Un poco mejor","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política no es tan complicada y se entiende","Soltero","Masculino",45,"Media baja","No","7","8","8","4","Está progresando","Un poco mejor","NS/NR","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",53,"Media","No","5","5","4","5","Está progresando","Un poco mejor","Bastante","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",61,"Media","Sí","10 Totalmente democrático","8","8","1","Está progresando","Un poco mejor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",27,"Media baja","No","5","8","7","NS/NR","Está estancado","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",61,"Media","Sí","8","9","6","2","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Brazil"
